iter	Passed	Remaining
607	9907	6387
608	9919	6368
609	9933	6350
610	9945	6331
611	9960	6314
612	9974	6297
613	9988	6279
614	10000	6260
615	10013	6241
616	10027	6224
617	10039	6205
618	10050	6186
619	10063	6167
620	10077	6150
621	10091	6132
622	10104	6114
623	10115	6095
624	10128	6076
625	10141	6058
626	10155	6041
627	10168	6023
628	10179	6004
629	10192	5985
630	10205	5967
631	10218	5949
632	10230	5931
633	10241	5912
634	10255	5894
635	10268	5876
636	10280	5858
637	10292	5840
638	10305	5822
639	10320	5805
640	10332	5786
641	10343	5767
642	10357	5750
643	10372	5733
644	10387	5716
645	10401	5699
646	10414	5682
647	10425	5663
648	10438	5645
649	10452	5628
650	10466	5611
651	10479	5593
652	10491	5574
653	10505	5557
654	10519	5540
655	10532	5523
656	10546	5506
657	10560	5488
658	10572	5470
659	10584	5452
660	10598	5435
661	10609	5417
662	10622	5399
663	10634	5381
664	10647	5363
665	10661	5346
666	10673	5328
667	10685	5310
668	10698	5293
669	10713	5276
670	10727	5259
671	10740	5242
672	10754	5225
673	10768	5208
674	10781	5191
675	10795	5174
676	10812	5158
677	10825	5141
678	10837	5123
679	10851	5106
680	10865	5089
681	10879	5072
682	10893	5056
683	10909	5039
684	10921	5022
685	10934	5004
686	10946	4987
687	10960	4970
688	10975	4953
689	10989	4937
690	11003	4920
691	11015	4902
692	11028	4885
693	11041	4868
694	11057	4852
695	11070	4835
696	11083	4818
697	11095	4800
698	11110	4784
699	11122	4766
700	11137	4750
701	11151	4733
702	11162	4715
703	11174	4698
704	11187	4681
705	11200	4664
706	11211	4646
707	11222	4628
708	11235	4611
709	11247	4594
710	11259	4576
711	11270	4559
712	11283	4541
713	11295	4524
714	11306	4506
715	11318	4489
716	11331	4472
717	11342	4454
718	11354	4437
719	11365	4419
720	11378	4402
721	11388	4385
722	11400	4367
723	11412	4350
724	11423	4333
725	11435	4315
726	11448	4298
727	11460	4281
728	11471	4264
729	11482	4246
730	11495	4230
731	11507	4212
732	11518	4195
733	11530	4178
734	11543	4161
735	11554	4144
736	11565	4127
737	11578	4110
738	11590	4093
739	11601	4076
740	11613	4059
741	11626	4042
742	11638	4025
743	11649	4008
744	11660	3991
745	11673	3974
746	11685	3957
747	11696	3940
748	11708	3923
749	11719	3906
750	11730	3889
751	11742	3872
752	11753	3855
753	11764	3838
754	11776	3821
755	11790	3805
756	11807	3790
757	11822	3774
758	11837	3758
759	11847	3741
760	11859	3724
761	11871	3707
762	11892	3693
763	11917	3681
764	11935	3666
765	11950	3650
766	11972	3636
767	11988	3621
768	12007	3606
769	12026	3592
770	12053	3580
771	12071	3565
772	12178	3576
773	12199	3562
774	12249	3556
775	12264	3540
776	12276	3523
777	12288	3506
778	12301	3489
779	12313	3473
780	12325	3456
781	12336	3439
782	12348	3422
783	12361	3405
784	12372	3388
785	12384	3371
786	12397	3355
787	12409	3338
788	12420	3321
789	12432	3304
790	12445	3288
791	12457	3271
792	12468	3254
793	12483	3238
794	12498	3222
795	12515	3207
796	12531	3191
797	12547	3176
798	12562	3160
799	12577	3144
800	12590	3127
801	12602	3111
802	12617	3095
803	12632	3079
804	12646	3063
805	12661	3047
806	12677	3031
807	12689	3015
808	12704	2999
809	12715	2982
810	12728	2966
811	12740	2949
812	12754	2933
813	12765	2916
814	12778	2900
815	12790	2884
816	12803	2867
817	12814	2851
818	12826	2834
819	12838	2818
820	12852	2802
821	12863	2785
822	12876	2769
823	12889	2753
824	12903	2737
825	12917	2721
826	12928	2704
827	12941	2688
828	12954	2672
829	12969	2656
830	12982	2640
831	12994	2623
832	13006	2607
833	13019	2591
834	13031	2575
835	13043	2558
836	13055	2542
837	13070	2526
838	13082	2510
839	13094	2494
840	13106	2478
841	13120	2461
842	13132	2445
843	13146	2429
844	13157	2413
845	13169	2397
846	13182	2381
847	13195	2365
848	13206	2348
849	13218	2332
850	13231	2316
851	13243	2300
852	13254	2284
853	13266	2268
854	13277	2251
855	13288	2235
856	13299	2219
857	13311	2203
858	13323	2186
859	13334	2170
860	13346	2154
861	13359	2138
862	13370	2122
863	13381	2106
864	13394	2090
865	13407	2074
866	13419	2058
867	13433	2042
868	13447	2027
869	13462	2011
870	13476	1995
871	13490	1980
872	13505	1964
873	13518	1948
874	13532	1933
875	13555	1918
876	13570	1903
877	13583	1887
878	13599	1872
879	13615	1856
880	13630	1841
881	13645	1825
882	13658	1809
883	13669	1793
884	13680	1777
885	13692	1761
886	13705	1745
887	13716	1730
888	13727	1713
889	13738	1698
890	13751	1682
891	13762	1666
892	13772	1650
893	13785	1634
894	13796	1618
895	13808	1602
896	13821	1587
897	13835	1571
898	13850	1556
899	13863	1540
900	13876	1524
901	13890	1509
902	13905	1493
903	13919	1478
904	13934	1462
905	13950	1447
906	13964	1431
907	13978	1416
908	13991	1400
909	14006	1385
910	14020	1369
911	14033	1354
912	14048	1338
913	14060	1322
914	14071	1307
915	14084	1291
916	14098	1276
917	14112	1260
918	14123	1244
919	14135	1229
920	14149	1213
921	14160	1197
922	14171	1182
923	14183	1166
924	14196	1151
925	14210	1135
926	14222	1120
927	14236	1104
928	14250	1089
929	14264	1073
930	14279	1058
931	14294	1042
932	14308	1027
933	14323	1012
934	14336	996
935	14350	981
936	14364	965
937	14378	950
938	14394	935
939	14409	919
940	14425	904
941	14440	889
942	14453	873
943	14464	858
944	14477	842
945	14491	827
946	14503	811
947	14514	796
948	14526	780
949	14540	765
950	14552	749
951	14565	734
952	14578	718
953	14593	703
954	14608	688
955	14622	672
956	14639	657
957	14652	642
958	14666	627
959	14678	611
960	14693	596
961	14708	580
962	14723	565
963	14740	550
964	14753	535
965	14769	519
966	14784	504
967	14797	489
968	14808	473
969	14820	458
970	14834	443
971	14845	427
972	14856	412
973	14868	396
974	14882	381
975	14893	366
976	14904	350
977	14916	335
978	14929	320
979	14940	304
980	14951	289
981	14964	274
982	14979	259
983	14993	243
984	15007	228
985	15018	213
986	15031	197
987	15043	182
988	15054	167
989	15066	152
990	15079	136
991	15091	121
992	15102	106
993	15113	91
994	15125	76
995	15136	60
996	15147	45
997	15159	30
998	15170	15
999	15181	0
