iter	Logloss
0	0.6495946674
1	0.608335852
2	0.5742321912
3	0.5447953797
4	0.5193653598
5	0.4960474194
6	0.4760059939
7	0.4592747099
8	0.4453506954
9	0.4329749279
10	0.4229987719
11	0.4141359213
12	0.4058776899
13	0.3968915167
14	0.3895689114
15	0.3830999336
16	0.3775073924
17	0.3729097909
18	0.3687768769
19	0.365163303
20	0.3620205423
21	0.358079195
22	0.3548702773
23	0.3517455825
24	0.3498826323
25	0.3480821901
26	0.3467116514
27	0.3444699219
28	0.3420600113
29	0.3406937461
30	0.3389306712
31	0.3377463959
32	0.3362061821
33	0.3347045011
34	0.333467202
35	0.3322191011
36	0.3308035831
37	0.3295148771
38	0.3285380561
39	0.3275750124
40	0.3262864216
41	0.3252366081
42	0.3244508127
43	0.3238200638
44	0.3230982331
45	0.3222124396
46	0.3215675162
47	0.3209486181
48	0.3200313074
49	0.3192192958
50	0.3187660459
51	0.3181644696
52	0.3176150612
53	0.3170152248
54	0.3164715759
55	0.3155589289
56	0.315012812
57	0.3145719977
58	0.3142491183
59	0.3137811744
60	0.3133344202
61	0.3127193195
62	0.3119727024
63	0.3115582157
64	0.311005559
65	0.3106734366
66	0.3102621582
67	0.3098509908
68	0.3094913532
69	0.3092261316
70	0.3089688793
71	0.3085440303
72	0.3082634483
73	0.3080460469
74	0.3077217922
75	0.3074083435
76	0.3070060043
77	0.3067403725
78	0.3065063905
79	0.3062524248
80	0.3058991925
81	0.3056286221
82	0.3053347437
83	0.3050889111
84	0.3048116185
85	0.3044584847
86	0.3043304888
87	0.3038429384
88	0.3035896873
89	0.3033538855
90	0.3029799034
91	0.3025980413
92	0.3023531537
93	0.3021233728
94	0.3018755323
95	0.3016859509
96	0.3015121156
97	0.3014087385
98	0.301224753
99	0.3010573241
100	0.3009268817
101	0.3007227876
102	0.3005927091
103	0.3004406819
104	0.3001273341
105	0.2998825801
106	0.2997171883
107	0.2988565228
108	0.2986743852
109	0.298443706
110	0.2981637307
111	0.2980253872
112	0.2978536322
113	0.297667212
114	0.2975083823
115	0.2973319388
116	0.2966953218
117	0.2963243744
118	0.2961577354
119	0.2960527795
120	0.2958304285
121	0.2956572665
122	0.2955363061
123	0.2953828111
124	0.2951458982
125	0.2950044814
126	0.2948686597
127	0.294720634
128	0.294599552
129	0.2944239749
130	0.2942461714
131	0.2941454974
132	0.2940312901
133	0.2938480274
134	0.2937435836
135	0.2936523969
136	0.2935656022
137	0.2934587741
138	0.2933064269
139	0.2931421457
140	0.2930451042
141	0.29291979
142	0.2927870678
143	0.292660774
144	0.2925310196
145	0.2924315152
146	0.2923430081
147	0.2922415798
148	0.2921178168
149	0.2919868767
150	0.2917352373
151	0.291643924
152	0.2915003169
153	0.2914207648
154	0.2913204378
155	0.2912191302
156	0.2911320277
